server,spec_id,bucket_timestamp,bucket_str,rmb_per_wan,trading_volume,fetched_at
三清山,324996,1787230800000,2026-08-20 21,5.191,4956,2026-08-21T13:51:25.515Z
三清山,324996,1787234400000,2026-08-20 22,5.17,2360,2026-08-21T14:42:13.201Z
三清山,324996,1787238000000,2026-08-20 23,5.163,3300,2026-08-21T15:40:51.686Z
三清山,324996,1787241600000,2026-08-21 00,5.16,3576,2026-08-21T16:42:04.764Z
三清山,324996,1787245200000,2026-08-21 01,5.227,5892,2026-08-21T17:35:43.193Z
三清山,324996,1787248800000,2026-08-21 02,5.168,895,2026-08-21T18:47:21.076Z
三清山,324996,1787252400000,2026-08-21 03,5.073,404,2026-08-21T18:47:21.076Z
三清山,324996,1787256000000,2026-08-21 04,5.073,0,2026-08-21T18:47:21.076Z
三清山,324996,1787259600000,2026-08-21 05,5.122,130,2026-08-21T21:31:27.063Z
三清山,324996,1787263200000,2026-08-21 06,5.122,0,2026-08-21T21:31:27.063Z
三清山,324996,1787266800000,2026-08-21 07,5.122,0,2026-08-21T21:31:27.063Z
三清山,324996,1787270400000,2026-08-21 08,5.039,305,2026-08-21T21:31:27.063Z
三清山,324996,1787274000000,2026-08-21 09,5.079,542,2026-08-21T21:31:27.063Z
三清山,324996,1787277600000,2026-08-21 10,5.069,1691,2026-08-21T21:31:27.063Z
三清山,324996,1787281200000,2026-08-21 11,5.091,4421,2026-08-21T21:31:27.063Z
三清山,324996,1787284800000,2026-08-21 12,4.987,1514,2026-08-21T21:31:27.063Z
三清山,324996,1787288400000,2026-08-21 13,4.964,1518,2026-08-21T21:31:27.063Z
三清山,324996,1787292000000,2026-08-21 14,4.933,2161,2026-08-21T21:31:27.063Z
三清山,324996,1787295600000,2026-08-21 15,4.948,4195,2026-08-21T21:31:27.063Z
三清山,324996,1787299200000,2026-08-21 16,4.939,1835,2026-08-21T21:31:27.063Z
三清山,324996,1787302800000,2026-08-21 17,4.982,4235,2026-08-21T21:31:27.063Z
三清山,324996,1787306400000,2026-08-21 18,5.005,3370,2026-08-21T21:31:27.063Z
三清山,324996,1787310000000,2026-08-21 19,5.037,2605,2026-08-21T21:31:27.063Z
三清山,324996,1787313600000,2026-08-21 20,5.02,1999,2026-08-21T21:31:27.063Z
三清山,324996,1787317200000,2026-08-21 21,5.007,4059,2026-08-21T21:31:27.063Z
三清山,324996,1787320800000,2026-08-21 22,4.981,3241,2026-08-21T21:31:27.063Z
三清山,324996,1787324400000,2026-08-21 23,4.981,1586,2026-08-21T21:31:27.063Z
三清山,324996,1787328000000,2026-08-22 00,4.935,1429,2026-08-21T21:31:27.063Z
三清山,324996,1787331600000,2026-08-22 01,4.918,718,2026-08-21T21:31:27.063Z
三清山,324996,1787335200000,2026-08-22 02,4.931,578,2026-08-21T21:31:27.063Z
三清山,324996,1787338800000,2026-08-22 03,4.948,236,2026-08-21T21:31:27.063Z
三清山,324996,1787342400000,2026-08-22 04,4.948,0,2026-08-21T21:31:27.063Z
云樱岛,324997,1786622400000,2026-08-13 20,5.701,20,2026-08-14T12:57:51.217Z
云樱岛,324997,1786626000000,2026-08-13 21,5.701,1005,2026-08-14T12:57:51.217Z
云樱岛,324997,1786629600000,2026-08-13 22,5.725,402,2026-08-14T14:18:33.217Z
云樱岛,324997,1786633200000,2026-08-13 23,5.677,1799,2026-08-14T15:58:13.444Z
云樱岛,324997,1786636800000,2026-08-14 00,5.677,0,2026-08-14T15:58:13.444Z
云樱岛,324997,1786640400000,2026-08-14 01,5.689,108,2026-08-14T17:57:19.000Z
云樱岛,324997,1786644000000,2026-08-14 02,5.689,0,2026-08-14T17:57:19.000Z
云樱岛,324997,1786647600000,2026-08-14 03,5.751,43,2026-08-14T19:52:14.355Z
云樱岛,324997,1786653451111,2026-08-14 04,5.655,0,2026-08-14T20:37:22.065Z
云樱岛,324997,1786656741462,2026-08-14 05,5.655,0,2026-08-14T21:32:12.396Z
云樱岛,324997,1786658400000,2026-08-14 06,5.655,100,2026-08-14T22:30:54.403Z
云樱岛,324997,1786662000000,2026-08-14 07,5.655,0,2026-08-14T22:30:54.403Z
云樱岛,324997,1786665600000,2026-08-14 08,5.655,0,2026-08-14T22:30:54.403Z
云樱岛,324997,1786669200000,2026-08-14 09,5.655,0,2026-08-14T22:30:54.403Z
云樱岛,324997,1786672800000,2026-08-14 10,5.655,386,2026-08-14T22:30:54.403Z
云樱岛,324997,1786676400000,2026-08-14 11,5.607,275,2026-08-15T03:46:22.767Z
云樱岛,324997,1786680000000,2026-08-14 12,5.609,453,2026-08-15T03:46:22.767Z
云樱岛,324997,1786683600000,2026-08-14 13,5.551,50,2026-08-15T05:31:46.542Z
云樱岛,324997,1786687200000,2026-08-14 14,5.551,483,2026-08-15T06:50:12.456Z
